verse,lemma,size_lemma,lemma_pos,pos,size_pos
Ps_21_12,"['μή', 'ἀφίστημι', 'ἀπό', 'ἐμοῦ', 'ὅτι', 'θλῖψις', 'ἐγγύς', 'ὅτι', 'οὐ', 'εἰμί', 'ὁ', 'βοηθέω']",12,"['ἐπί', 'σύ', 'ἐπερρίϕην', 'ἐκ', 'μήτρας', 'ἐκ', 'κοιλίας', 'μητρός', 'ἐγώ', 'θεός', 'ἐγώ', 'εἰμί', 'σύ']","['ADP', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PRON', 'NUM', 'PRON', 'AUX', 'ADJ']",13
Ps_21_13,"['περικυκλόω', 'μέ', 'μόσχος', 'πολύς', 'ταῦρος', 'πίων', 'περιέχω', 'μέ']",8,"['μή', 'ἀποστῇς', 'ἀπα', 'ά', 'ἐγώ', 'ὅτι', 'θλῖψις', 'ἐγγύς', 'ὅτι', 'οὐ', 'εἰμί', 'ὁ', 'βοηθός']","['ADV', 'VERB', 'ADP', 'ADP', 'PRON', 'SCONJ', 'NOUN', 'ADJ', 'SCONJ', 'ADV', 'AUX', 'DET', 'NOUN']",13
Ps_21_14,"['ἀνοίγω', 'ἐπί', 'ἐμέ', 'ὁ', 'στόμα', 'αὐτός', 'ὥς', 'λέων', 'ὁ', 'ἁρπάζω', 'καί', 'ὠρύομαι']",12,"['περιεκύκλωσάν', 'ἐγώ', 'μόσχος', 'πολλοί', 'ταῦρος', 'πίονες', 'περιέσχος', 'με·']","['VERB', 'PRON', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN']",8
Ps_21_15,"['ὡσεί', 'ὕδωρ', 'ἐκχέω', 'καί', 'διασκορπίζω', 'πᾶς', 'ὁ', 'ὀστέον', 'μου', 'γίνομαι', 'ὁ', 'καρδία', 'μου', 'ὡσεί', 'κηρός', 'τήκω', 'ἐν', 'μέσος', 'ὁ', 'κοιλία', 'μου']",21,"['ἤνοιξαν', 'ἐπί', 'ἐγώ', 'ὁ', 'στόμα', 'αὐτός', 'ὡς', 'λέων', 'ὁ', 'ἁρπάζω', 'καί', 'ὠρυόμενος', 'ὡσεί', 'ὕδωρ', 'ἐξεχύθην', 'καί', 'διεσκορπίζομαι', 'πάντα', 'ὁ', 'ὀστέον', 'ἐγώ']","['VERB', 'ADP', 'PRON', 'DET', 'NOUN', 'PRON', 'ADV', 'NOUN', 'DET', 'VERB', 'CCONJ', 'VERB', 'ADV', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'VERB', 'DET', 'NOUN', 'PRON']",21
Ps_21_16,"['ξηραίνω', 'ὥς', 'ὄστρακον', 'ὁ', 'ἰσχύς', 'μου', 'καί', 'ὁ', 'γλῶσσα', 'μου', 'κολλάω', 'ὁ', 'λάρυγξ', 'μου', 'καί', 'εἰς', 'χοῦς', 'θάνατος', 'κατάγω', 'μέ']",20,"['ἐγενήθη', 'ὁ', 'καρδία', 'ἐγώ', 'ὡσεί', 'κηρός', 'τηκόμενος', 'ἐν', 'μέσῳ', 'ὁ', 'κοιλίας', 'μου·']","['VERB', 'DET', 'NOUN', 'PRON', 'ADV', 'NOUN', 'VERB', 'ADP', 'PROPN', 'DET', 'NOUN', 'ADJ']",12
Ps_21_17,"['ὅτι', 'κυκλόω', 'μέ', 'κύων', 'πολύς', 'συναγωγή', 'πονηρεύομαι', 'περιέχω', 'μέ', 'ὀρύσσω', 'χείρ', 'μου', 'καί', 'πούς']",14,"['ἐξηράνθη', 'ὡς', 'ὄστρακον', 'ὁ', 'ἰσχύς', 'ἐγώ', 'καί', 'ὁ', 'γλῶσσά', 'ἐγώ', 'κεκόλληται', 'ὁ', 'λάρυγγί', 'ἐγώ', 'καί', 'εἰς', 'χοῦς', 'θανάτος', 'κατήγαγές', 'ἐγώ']","['VERB', 'ADV', 'NOUN', 'DET', 'NOUN', 'PRON', 'CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'ADJ', 'PRON', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'ADV', 'PRON']",20
Ps_21_18,"['ἐξαριθμέω', 'πᾶς', 'ὁ', 'ὀστέον', 'μου', 'αὐτός', 'δέ', 'κατανοέω', 'καί', 'ἐπεῖδον', 'μέ']",11,"['ὅτι', 'ἐκύκλωσάν', 'ἐγώ', 'κύνες', 'πολλοί', 'συναγωγή', 'πονηρευομένω', 'περιέσχος', 'ἐγώ', 'ὤρυξαν', 'χεῖράς', 'ἐγώ', 'καί', 'πός']","['SCONJ', 'VERB', 'PRON', 'VERB', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'PRON', 'VERB', 'NOUN', 'PRON', 'CCONJ', 'NOUN']",14
Ps_21_19,"['διαμερίζω', 'ὁ', 'ἱμάτιον', 'μου', 'ἑαυτοῦ', 'καί', 'ἐπί', 'ὁ', 'ἱματισμός', 'μου', 'βάλλω', 'κλῆρος']",12,"['ἐξηρίθμησα', 'πάντα', 'ὁ', 'ὀστέον', 'ἐγώ', 'αὐτός', 'δέ', 'κατενόησαν', 'καί', 'ἐπεῖδόν', 'ἐγώ']","['VERB', 'VERB', 'DET', 'NOUN', 'PRON', 'ADJ', 'CCONJ', 'VERB', 'CCONJ', 'VERB', 'PRON']",11
Ps_21_2,"['ὁ', 'θεός', 'ὁ', 'θεός', 'μου', 'προσέχω', 'μοι', 'ἵνα', 'τίς', 'ἐγκαταλείπω', 'μέ', 'μακράν', 'ἀπό', 'ὁ', 'σωτηρία', 'μου', 'ὁ', 'λόγος', 'ὁ', 'παράπτωμα', 'μου']",21,"['ὁ', 'Δαυιδ']","['DET', 'NOUN']",2
Ps_21_20,"['σύ', 'δέ', 'κύριος', 'μή', 'μακρύνω', 'ὁ', 'βοήθεια', 'μου', 'εἰς', 'ὁ', 'ἀντίληψις', 'μου', 'προσέχω']",13,"['διαμερίσαμαι', 'ὁ', 'ἱμάτιά', 'ἐγώ', 'ἑαυτοῦ', 'καί', 'ἐπί', 'ὁ', 'ἱματισμόν', 'ἐγώ', 'βάλλω', 'κλῆρος']","['VERB', 'DET', 'NOUN', 'PRON', 'PRON', 'CCONJ', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'NOUN']",12
