stop_word
αἰ
αἱ
αἲ
αἳ
αἴ
αἵ
αἵδ'
αἵδε
αἵτινές
αἷν
αἷς
αἷσπερ
αὐτά
αὐτάς
αὐτάων
αὐτέων
αὐτή
αὐτήν
αὐταί
αὐταὶ
αὐταῖς
αὐτοί
αὐτούς
αὐτοὶ
αὐτοὺς
αὐτοῖο
αὐτοῖς
αὐτοῖσί
αὐτοῖσι
αὐτοῖσιν
αὐτοῦ
αὐτό
αὐτόν
αὐτός
αὐτώ
αὐτὰ
αὐτὰν
αὐτὰς
αὐτὴ
αὐτὴν
αὐτὸ
αὐτὸν
αὐτὸς
αὐτὼ
αὐτᾶς
αὐτῆς
αὐτῇ
αὐτῇς
αὐτῇσι
αὐτῇσιν
αὐτῶν
αὐτῷ
αὑταὶ
αὑταῖς
αὑτοὺς
αὑτοῖν
αὑτοῖς
αὑτοῦ
αὑτόν
αὑτός
αὑτὴν
αὑτὸν
αὑτὸς
αὑτῆς
αὑτῶν
αὑτῷ
αὔτ'
αὕτη
αὗται
γ'
γάρ
γέ
γε
γὰρ
δ'
δέ
δή
δαΐδας
δαΐδων
δαιτί
δαιτὶ
δαιτὸς
δαὶ
δαῖτ'
δαῖτα
διά
διὰ
δἰ
δὲ
δὴ
εξ
εἰ
εἰμ'
εἰμί
εἰμεν
εἰμι
εἰμὲν
εἰμὶ
εἰν
εἰνὶ
εἰς
εἰσ'
εἰσί
εἰσίν
εἰσι
εἰσιν
εἰσὶ
εἰσὶν
εἲ
εἲς
εἴ
εἴη
εἴην
εἴης
εἴησαν
εἴμ'
εἶ
εἶεν
εἶναί
εἶναι
θ'
κ
κ'
κάρ
κάτα
κέ
κέν
καί
καθ'
κατ'
κατά
κατὰ
καὐτὸς
καὶ
κε
κεν
κεἰ
κεἰς
κεἴ
κοὐ
κοὐδ'
κοὐδεὶς
κοὐδὲν
κοὐκ
κοὐχ
κἀγώ
κἀγὼ
κἀκ
κἀμοὶ
κἀμοῦ
κἀμὲ
κἀμὸν
κἀν
κἀξ
κἀπ'
κἀπὶ
κἀφ'
κἂν
κἄλλ'
κἄμ'
κἄστ'
κἄτι
κὰγ
κὰδ
κὰκ
κὰμ
κὰπ
κὰρ
μ'
μέ
μέθ'
μέν
μέτ'
μέτα
μή
με
μεθ'
μετ'
μετά
μετὰ
μευ
μη
μοί
μοι
μου
μὲν
μὴ
νὼ
νῶΐ
νῶι
νῶϊ
νῷν
ξὺν
οἱ
οἳ
οἵ
οἵδ'
οἵδε
οἵπερ
οἵτινες
οἷς
οἷσί
οἷσίν
οἷσι
οἷσιν
οὐ
οὐδ'
οὐδέ
οὐδέν
οὐδέν'
οὐδένα
οὐδείς
οὐδεμία
οὐδεμίαν
οὐδενός
οὐδενὶ
οὐδενὸς
οὐδεὶς
οὐδὲ
οὐδὲν
οὐκ
οὐκὶ
οὐχ
οὐχί
οὐχὶ
οὑμός
οὑμὸς
οὒ
οὓς
οὔ
οὔθ'
οὔσαις
οὔσας
οὔσης
οὔτ'
οὔτέ
οὔτε
οὕς
οὕτω
οὕτως
οὕτῶ
οὖν
οὖσ'
οὖσα
οὖσαι
οὖσαν
οὖσι
οὖσιν
οὗ
οὗτοί
οὗτοι
οὗτος
οὗτοὶ
οὗτός
πάρ'
πάρα
πέρι
παρ'
παρά
παραὶ
παρὰ
περί
περὶ
ποτ'
ποτὶ
προτί
προτὶ
πρός
πρὸς
πότι
πὰρ
σ'
σά
σέ
σέθεν
σέο
σή
σήν
σαῖς
σε
σεο
σευ
σεῖο
σεῦ
σοί
σοι
σου
σούς
σοὶ
σοὺς
σοῖς
σοῖσι
σοῖσιν
σοῦ
στί
σφὼ
σφῶϊ
σφῶϊν
σφῷν
σόν
σός
σύ
σύν
σὰ
σὰν
σὰς
σὲ
σὴ
σὴν
σὸν
σὸς
